Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,F,Seattle Dept of Transportation,40,57.09,R,A
Hispanic or Latino,M,Police Department,28,48.71,R,A
Hispanic or Latino,M,Finance & Admin Services,50,37.72,R,A
Hispanic or Latino,F,Human Services Department,50,40.48,R,A
Hispanic or Latino,F,Police Department,46,54.89,R,A
Hispanic or Latino,M,Parks & Recreation,29,16.11,T,A
Hispanic or Latino,M,Parks & Recreation,37,35.42,T,A
Hispanic or Latino,M,Parks & Recreation,49,45.27,R,A
Hispanic or Latino,M,Fire Department,40,41.61,R,A
Hispanic or Latino,M,Seattle Public Utilities,43,37.53,R,A
Hispanic or Latino,F,Legislative Department,49,59.387,R,A
Hispanic or Latino,F,Seattle Public Utilities,54,48.09,R,A
Hispanic or Latino,M,Seattle Public Utilities,50,48.09,R,A
Hispanic or Latino,F,City Auditor,34,47.9542,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,50,63.1,R,A
Hispanic or Latino,M,Construction & Inspections,34,42.71,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,56,26.09,T,A
Hispanic or Latino,M,Seattle Public Utilities,48,33.66,R,A
Hispanic or Latino,M,Police Department,53,30.71,R,A
Hispanic or Latino,M,Seattle Public Utilities,22,26.09,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,51,38.98,R,A
Hispanic or Latino,M,Seattle City Light,61,53.07,R,A
Hispanic or Latino,M,Seattle City Light,61,60.85,R,A
Hispanic or Latino,F,Parks & Recreation,23,16.92,T,A
Hispanic or Latino,M,Seattle City Light,51,34.96,R,A
Hispanic or Latino,F,Parks & Recreation,59,27.18,R,A
Hispanic or Latino,M,Finance & Admin Services,62,40.48,R,A
Hispanic or Latino,M,Human Services Department,23,20.48,T,A
Hispanic or Latino,M,Human Services Department,62,29.29,R,A
Hispanic or Latino,M,Police Department,32,48.71,R,A
Hispanic or Latino,M,Parks & Recreation,61,26.09,R,A
Hispanic or Latino,M,Seattle Public Library,20,17.92,R,A
Hispanic or Latino,M,Police Department,31,46.43,R,A
Hispanic or Latino,M,Parks & Recreation,53,32.35,R,A
Hispanic or Latino,F,Office of Labor Standards,48,51.878,R,A
Hispanic or Latino,M,Police Department,57,60,R,A
Hispanic or Latino,M,Human Services Department,17,16,T,A
Hispanic or Latino,F,Police Department,30,34.05,R,A
Hispanic or Latino,M,Police Department,28,46.43,R,A
Hispanic or Latino,F,Education & Early Learning,35,32.17,R,A
Hispanic or Latino,M,Information Technology,46,49.059,R,A
Hispanic or Latino,M,Police Department,28,39.01,R,A
Hispanic or Latino,F,Office for Civil Rights,31,37.59,R,A
Hispanic or Latino,M,Police Department,31,48.71,R,A
Hispanic or Latino,F,Seattle Public Library,37,34.6,R,A
Hispanic or Latino,M,Police Department,34,27.14,R,A
Hispanic or Latino,F,Seattle Public Utilities,56,65.298,R,A
Hispanic or Latino,F,Finance & Admin Services,48,48.97,R,A
Hispanic or Latino,F,Fire Department,56,75.65,R,A
Hispanic or Latino,M,Fire Department,29,36.43,R,A
Hispanic or Latino,F,Police Department,25,31.49,R,A
Hispanic or Latino,M,Fire Department,60,49.55,R,A
Hispanic or Latino,M,Fire Department,38,30.88,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,36,42.92,R,A
Hispanic or Latino,F,Mayor's Office,50,68.97,R,A
Hispanic or Latino,F,Human Services Department,57,29.29,T,A
Hispanic or Latino,M,Neighborhoods,51,42.06,R,A
Hispanic or Latino,M,Fire Department,36,39.02,R,A
Hispanic or Latino,M,Human Services Department,44,49,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,35,54.16,R,A
Hispanic or Latino,M,Fire Department,51,44.38,R,A
Hispanic or Latino,F,Education & Early Learning,47,38.28,R,A
Hispanic or Latino,F,Education & Early Learning,24,30.39,R,A
Hispanic or Latino,M,Police Department,62,58.73,R,A
Hispanic or Latino,M,Neighborhoods,29,37.59,R,A
Hispanic or Latino,F,Parks & Recreation,24,18,T,A
Hispanic or Latino,F,Finance & Admin Services,62,35.7,R,A
Hispanic or Latino,F,Seattle City Light,23,25.62,T,A
Hispanic or Latino,M,Seattle City Light,58,51.31,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,25,36.96,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,32,38.28,R,A
Hispanic or Latino,F,Finance & Admin Services,52,24.55,T,A
Hispanic or Latino,M,Police Department,28,28.99,R,A
Hispanic or Latino,F,Seattle City Light,48,30.01,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,46,54.9,R,A
Hispanic or Latino,F,Seattle City Light,55,22.08,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,50,34.01,R,A
Hispanic or Latino,F,Education & Early Learning,50,29.93,R,A
Hispanic or Latino,F,Seattle Public Library,21,17.92,R,A
Hispanic or Latino,F,Seattle Center,50,20.07,T,A
Hispanic or Latino,M,Fire Department,39,39.02,R,A
Hispanic or Latino,M,Parks & Recreation,49,26.09,R,A
Hispanic or Latino,M,Seattle City Light,29,53.07,R,A
Hispanic or Latino,M,Parks & Recreation,42,26.09,R,A
Hispanic or Latino,M,Parks & Recreation,51,26.09,R,A
Hispanic or Latino,M,Parks & Recreation,60,26.09,R,A
Hispanic or Latino,F,Education & Early Learning,39,41.26,R,A
Hispanic or Latino,M,Finance & Admin Services,49,33.21,R,A
Hispanic or Latino,M,Parks & Recreation,51,28.91,R,A
Hispanic or Latino,M,Fire Department,23,36.43,R,A
Hispanic or Latino,F,Information Technology,58,35.43,R,A
Hispanic or Latino,M,Human Services Department,30,36.13,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,36,28.49,R,A
Hispanic or Latino,F,Seattle Public Utilities,38,54,R,A
Hispanic or Latino,M,Police Department,49,57.96,R,A
Hispanic or Latino,M,Fire Department,54,55.19,R,A
Hispanic or Latino,M,Information Technology,64,54.442,R,A
Hispanic or Latino,M,Police Department,40,52.85,R,A
Hispanic or Latino,M,Seattle City Light,44,59.1,R,A
Hispanic or Latino,M,Human Services Department,66,41.89,R,A
Hispanic or Latino,M,Fire Department,52,48.07,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,59,45,R,A
Hispanic or Latino,M,Seattle City Light,48,51.87,R,A
Hispanic or Latino,F,Police Department,24,39.01,R,A
Hispanic or Latino,F,Municipal Court,41,43.91,R,A
Hispanic or Latino,M,Fire Department,34,40.5,R,A
Hispanic or Latino,F,Seattle City Light,28,29.89,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,38.44,R,A
Hispanic or Latino,F,Human Services Department,17,16,T,A
Hispanic or Latino,F,Parks & Recreation,23,16.11,T,A
Hispanic or Latino,F,Police Department,33,52.09,R,A
Hispanic or Latino,F,Parks & Recreation,34,16.92,T,A
Hispanic or Latino,M,Police Department,52,59.24,R,A
Hispanic or Latino,M,Fire Department,40,48.07,R,A
Hispanic or Latino,F,Seattle Public Utilities,27,36.13,R,A
Hispanic or Latino,M,Fire Department,42,39.02,R,A
Hispanic or Latino,F,Seattle Public Utilities,63,74,R,A
Hispanic or Latino,M,Seattle City Light,45,39.86,R,A
Hispanic or Latino,M,Human Services Department,18,16,T,A
Hispanic or Latino,M,Parks & Recreation,21,19.83,T,A
Hispanic or Latino,F,Parks & Recreation,64,16.11,T,A
Hispanic or Latino,M,Fire Department,45,46.23,R,A
Hispanic or Latino,F,Human Services Department,18,16,T,A
Hispanic or Latino,M,Fire Department,35,39.76,R,A
Hispanic or Latino,F,Legislative Department,39,30,R,A
Hispanic or Latino,M,Human Services Department,49,34.07,R,A
Hispanic or Latino,M,Police Department,43,55.15,R,A
Hispanic or Latino,M,Seattle City Light,48,58.36,R,A
Hispanic or Latino,F,Parks & Recreation,17,16.92,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,58,26.09,R,A
Hispanic or Latino,M,Police Department,27,46.43,R,A
Hispanic or Latino,M,Police Department,32,46.43,R,A
Hispanic or Latino,M,Seattle City Light,30,51.5,R,A
Hispanic or Latino,F,Seattle Public Library,39,23.46,R,A
Hispanic or Latino,M,Fire Department,45,43.46,R,A
Hispanic or Latino,F,Seattle Public Utilities,57,37.53,R,A
Hispanic or Latino,F,Human Services Department,45,40.48,R,A
Hispanic or Latino,M,Police Department,27,48.71,R,A
Hispanic or Latino,F,Parks & Recreation,41,45.62,R,A
Hispanic or Latino,F,Sustainability & Environment,27,16.56,T,A
Hispanic or Latino,M,Seattle Public Library,36,33.32,R,A
Hispanic or Latino,M,Parks & Recreation,56,26.09,R,A
Hispanic or Latino,F,Seattle Public Utilities,47,35.78,R,A
Hispanic or Latino,F,Office of Inspector General,40,49.8084,R,A
Hispanic or Latino,M,Seattle City Light,58,51.87,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,40,44.51,R,A
Hispanic or Latino,F,Legislative Department,58,49.91,R,A
Hispanic or Latino,F,Seattle Public Library,59,33.32,R,A
Hispanic or Latino,M,Parks & Recreation,51,97.757,R,A
Hispanic or Latino,F,Seattle Public Library,61,45.26,R,A
Hispanic or Latino,M,Finance & Admin Services,37,55.07,R,A
Hispanic or Latino,M,Seattle City Light,46,26.09,T,A
Hispanic or Latino,M,Seattle Public Utilities,44,40.48,R,A
Hispanic or Latino,M,Seattle Public Library,29,24.71,R,A
Hispanic or Latino,M,Human Services Department,30,32.81,T,A
Hispanic or Latino,M,Seattle Public Library,56,38.6,R,A
Hispanic or Latino,M,Police Department,50,53.87,R,A
Hispanic or Latino,F,Parks & Recreation,46,16.11,T,A
Hispanic or Latino,F,Seattle Public Library,51,51.08,R,A
Hispanic or Latino,F,Parks & Recreation,19,16.11,T,A
Hispanic or Latino,M,Finance & Admin Services,31,29.59,R,A
Hispanic or Latino,M,Seattle City Light,25,28.94,R,A
Hispanic or Latino,M,Office of Economic Development,53,43.103,R,A
Hispanic or Latino,M,Fire Department,58,44.57,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,56,34.01,R,A
Hispanic or Latino,M,Seattle City Light,28,27.49,R,A
Hispanic or Latino,M,Seattle Dept of Human Resource,41,37.59,R,A
Hispanic or Latino,M,Seattle City Light,39,51.87,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,38,50.91,R,A
Hispanic or Latino,M,Fire Department,50,44.38,R,A
Hispanic or Latino,M,Parks & Recreation,43,26.09,R,A
Hispanic or Latino,M,Finance & Admin Services,30,36.08,R,A
Hispanic or Latino,M,Parks & Recreation,29,22.76,R,A
Hispanic or Latino,M,Police Department,64,59.24,R,A
Hispanic or Latino,M,Police Department,50,67.87,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,56,52.13,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,38,73.57,R,A
Hispanic or Latino,F,Seattle Public Utilities,37,45.487,R,A
Hispanic or Latino,M,Seattle Public Utilities,48,35.16,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,51,33.45,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,28,27.18,R,A
Hispanic or Latino,M,Parks & Recreation,49,23.58,R,A
Hispanic or Latino,M,Seattle Center,39,20.07,T,A
Hispanic or Latino,M,Seattle Public Utilities,53,37.53,R,A
Hispanic or Latino,F,Seattle Public Utilities,32,44.57,R,A
Hispanic or Latino,F,Legislative Department,26,30.8908,R,A
Hispanic or Latino,F,Seattle City Light,48,52.23,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,19,26.09,T,A
Hispanic or Latino,M,Finance & Admin Services,30,28.55,R,A
Hispanic or Latino,M,Seattle City Light,63,61.39,R,A
Hispanic or Latino,M,Fire Department,55,45.12,R,A
Hispanic or Latino,M,Municipal Court,29,26.09,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,21,21.61,T,A
Hispanic or Latino,F,Municipal Court,24,24.28,T,A
Hispanic or Latino,M,Seattle Public Utilities,67,47.18,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,30,42.06,R,A
Hispanic or Latino,M,Police Department,41,34.76,R,A
Hispanic or Latino,F,Finance & Admin Services,56,57.47,R,A
Hispanic or Latino,M,Seattle City Light,58,37.23,R,A
Hispanic or Latino,M,Fire Department,30,38.28,R,A
Hispanic or Latino,F,Seattle Public Utilities,47,35.16,R,A
Hispanic or Latino,F,Human Services Department,17,16,T,A
Hispanic or Latino,F,Seattle Public Library,22,23.54,R,A
Hispanic or Latino,F,Seattle Public Utilities,42,47.58,R,A
Hispanic or Latino,F,Neighborhoods,42,29.29,R,A
Hispanic or Latino,F,Seattle City Light,58,36.13,R,A
Hispanic or Latino,F,Police Department,26,48.71,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,46,55,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,54.16,R,A
Hispanic or Latino,F,Seattle City Light,32,25.17,R,A
Hispanic or Latino,F,Planning & Comm Development,35,32.81,R,A
Hispanic or Latino,M,Police Department,27,28.16,R,A
Hispanic or Latino,M,Seattle Public Library,56,42.8,R,A
Hispanic or Latino,F,Construction & Inspections,51,33.96,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,56,26.09,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,48,63.1,R,A
Hispanic or Latino,F,Police Department,41,31.49,R,A
Hispanic or Latino,M,Seattle Public Library,36,27.72,R,A
Hispanic or Latino,F,Seattle Public Utilities,23,20.3,T,A
Hispanic or Latino,M,Police Department,41,59.23,R,A
Hispanic or Latino,M,Seattle City Light,38,43.92,R,A
Hispanic or Latino,F,Seattle Public Library,62,20.3,R,A
Hispanic or Latino,F,Seattle City Light,57,30.01,R,A
Hispanic or Latino,M,Human Services Department,24,20.91,T,A
Hispanic or Latino,F,Police Department,28,39.01,R,A
Hispanic or Latino,M,Seattle City Light,48,39.73,R,A
Hispanic or Latino,F,Seattle City Light,71,28.94,R,A
Hispanic or Latino,F,Municipal Court,45,27.18,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,56,47.18,R,A
Hispanic or Latino,F,Parks & Recreation,44,16.11,T,A
Hispanic or Latino,M,Human Services Department,69,40.48,R,A
Hispanic or Latino,M,Police Department,39,55.91,R,A
Hispanic or Latino,M,Parks & Recreation,41,25.24,R,A
Hispanic or Latino,M,Information Technology,66,55.012,R,A
Hispanic or Latino,F,Human Services Department,41,34.07,R,A
Hispanic or Latino,M,Fire Department,33,40.87,R,A
Hispanic or Latino,F,Law Department,64,28.74,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,50,31.49,R,A
Hispanic or Latino,F,Seattle Center,52,33.71,R,A
Hispanic or Latino,M,Seattle City Light,31,37.87,R,A
Hispanic or Latino,M,Education & Early Learning,32,36.92,R,A
Hispanic or Latino,M,Municipal Court,33,36.1,R,A
Hispanic or Latino,F,Sustainability & Environment,26,42.92,R,A
Hispanic or Latino,M,Seattle Public Utilities,33,36.96,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,29,41.84,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,41,86.21,R,A
Hispanic or Latino,M,Police Department,39,52.85,R,A
Hispanic or Latino,F,Seattle Center,28,29.29,T,A
Hispanic or Latino,M,Information Technology,49,49.152,R,A
Hispanic or Latino,M,Police Department,56,57.2,R,A
Hispanic or Latino,M,Police Department,46,39.53,R,A
Hispanic or Latino,M,Fire Department,50,45.676,R,A
Hispanic or Latino,F,Seattle Public Utilities,60,24.28,R,A
Hispanic or Latino,M,Legislative Department,32,62.11,R,A
Hispanic or Latino,M,Seattle Public Library,45,24.53,R,A
Hispanic or Latino,F,Seattle City Light,30,44.57,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,47,29.56,R,A
Hispanic or Latino,M,Seattle Center,54,22.19,T,A
Hispanic or Latino,M,Fire Department,36,40.87,R,A
Hispanic or Latino,M,Seattle Public Utilities,45,43.26,R,A
Hispanic or Latino,M,Seattle City Light,20,33.72,R,A
Hispanic or Latino,F,Employees' Retirement System,39,44.606,R,A
Hispanic or Latino,M,Parks & Recreation,48,28.49,R,A
Hispanic or Latino,M,Police Department,41,51.009,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,59,47.13,R,A
Hispanic or Latino,M,Office of Inspector General,53,49.8084,R,A
Hispanic or Latino,M,Seattle City Light,62,45.51,R,A
Hispanic or Latino,M,Seattle Public Utilities,34,58.53,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,22,26.09,R,A
Hispanic or Latino,F,Seattle Public Utilities,39,34.07,R,A
Hispanic or Latino,F,Seattle City Light,33,33.74,R,A
Hispanic or Latino,M,Police Department,26,41.83,R,A
Hispanic or Latino,F,Law Department,32,48,R,A
Hispanic or Latino,M,Parks & Recreation,58,23.58,R,A
Hispanic or Latino,M,Police Department,29,28.99,R,A
Hispanic or Latino,M,Seattle City Light,60,51.87,R,A
Hispanic or Latino,M,Fire Department,42,30.39,R,A
Hispanic or Latino,M,Finance & Admin Services,44,21.61,R,A
Hispanic or Latino,F,Seattle City Light,66,50.18,R,A
Hispanic or Latino,F,Seattle Public Library,20,17.01,R,A
Hispanic or Latino,M,Seattle Public Utilities,53,58.53,R,A
Hispanic or Latino,F,Neighborhoods,31,36.13,T,A
Hispanic or Latino,M,Finance & Admin Services,41,27.49,R,A
Hispanic or Latino,M,Fire Department,36,32.73,R,A
Hispanic or Latino,F,Human Services Department,41,31.63,R,A
Hispanic or Latino,M,Police Department,37,37.59,R,A
Hispanic or Latino,M,Parks & Recreation,26,16.11,T,A
Hispanic or Latino,F,Construction & Inspections,41,42.06,R,A
Hispanic or Latino,M,Seattle City Light,52,49.77,R,A
Hispanic or Latino,F,Municipal Court,34,36.35,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,42,26.09,R,A
Hispanic or Latino,F,Police Department,40,30.71,R,A
Hispanic or Latino,F,Parks & Recreation,35,22.16,R,A
Hispanic or Latino,M,Police Department,35,52.09,R,L
Hispanic or Latino,M,Seattle Center,50,31.26,T,A
Hispanic or Latino,F,Seattle Dept of Human Resource,28,32.17,R,A
Hispanic or Latino,M,Seattle City Light,58,58.36,R,A
Hispanic or Latino,F,Human Services Department,57,52.86,R,A
Hispanic or Latino,F,Information Technology,34,58.5,T,A
Hispanic or Latino,M,Police Department,43,46.43,R,P
Hispanic or Latino,M,Seattle Dept of Transportation,33,52.13,R,A
Hispanic or Latino,M,Police Department,52,53.87,R,A
White,M,Seattle Center,38,31.26,T,A
White,F,Seattle Dept of Transportation,39,53.719,R,A
White,M,Police Department,43,68.17,R,A
White,M,Seattle City Light,38,51.94,R,A
White,M,Seattle City Light,58,29.56,T,A
White,F,Police Department,49,27.18,R,A
White,M,Seattle Center,65,31.26,T,A
White,M,Seattle Public Utilities,40,30.39,R,L
White,M,Seattle Public Utilities,37,45.45,R,A
White,F,Construction & Inspections,45,32.17,R,A
White,M,Seattle City Light,64,67.16,R,A
White,F,Seattle Public Utilities,40,40.48,R,A
White,M,Police Department,40,55.15,R,A
White,F,Seattle City Light,36,57.22,R,A
White,F,Seattle Public Library,62,39.95,R,A
White,M,Seattle City Light,60,50.18,R,A
White,F,Seattle Public Library,46,40.75,R,A
White,M,Seattle Dept of Transportation,45,56.4,R,A
White,F,Fire Department,48,44.38,R,A
White,M,Parks & Recreation,47,26.09,R,A
White,M,Seattle City Light,60,58.53,R,A
White,M,Police Department,43,55.91,R,A
White,M,Finance & Admin Services,34,59.526,R,A
White,M,Seattle City Light,54,45.53,R,A
White,M,Seattle City Light,31,50.36,R,A
White,M,Seattle Public Library,66,23.54,R,A
White,M,Fire Department,52,44.01,R,A
White,F,Law Department,30,40.07,R,A
White,F,Information Technology,51,63.705,R,A
White,M,Seattle Dept of Transportation,52,46.13,R,A
White,F,Human Services Department,64,44.57,R,A
White,M,Seattle Public Utilities,33,61.791,R,A
White,F,Seattle Center,62,16.11,T,A
White,M,Police Department,49,58.46,R,A
White,M,Seattle City Light,26,39.15,R,A
White,M,Seattle City Light,52,56.66,R,A
White,F,Municipal Court,41,28.2,R,A
White,M,Seattle City Light,37,50.36,R,A
White,M,Information Technology,55,59.698,R,A
White,F,Seattle Dept of Human Resource,43,60.93,R,A
White,F,Parks & Recreation,18,16.92,T,A
White,F,Seattle Public Library,38,39.95,R,A
White,M,Seattle Dept of Transportation,51,30.76,R,A
White,F,Seattle City Light,54,27.18,R,A
White,F,Parks & Recreation,18,16.92,T,A
White,F,Seattle City Light,27,31.26,R,A
White,M,Fire Department,49,63.66,R,A
White,F,Seattle Dept of Transportation,64,49.537,R,A
White,F,Seattle City Light,43,58.53,R,A
White,M,Fire Department,41,43.46,R,A
White,M,Information Technology,44,44.864,R,A
White,M,Fire Department,38,40.87,R,A
White,F,Human Services Department,37,48.33,R,A
White,F,Seattle Public Library,42,22.33,R,A
White,F,Law Department,56,29.89,R,A
White,F,Parks & Recreation,50,16.11,T,A
White,M,Police Department,46,55.91,R,A
White,F,Municipal Court,53,32.81,R,A
White,M,Law Department,55,68.497,R,A
White,M,Seattle Dept of Transportation,30,20.3,T,A
White,M,Fire Department,48,48.07,R,A
White,F,Police Department,48,27.18,R,A
White,F,Education & Early Learning,42,36.92,R,A
